,GEO_ID,NAME,Num_HH,Med_Inc_HH
75,1400000US17031051400,"Census Tract 514, Cook County, Illinois",1011,74811
76,1400000US17031060100,"Census Tract 601, Cook County, Illinois",1309,88893
77,1400000US17031060200,"Census Tract 602, Cook County, Illinois",1101,57978
78,1400000US17031060300,"Census Tract 603, Cook County, Illinois",1337,107052
79,1400000US17031060400,"Census Tract 604, Cook County, Illinois",1615,100970
80,1400000US17031060500,"Census Tract 605, Cook County, Illinois",748,58393
81,1400000US17031060800,"Census Tract 608, Cook County, Illinois",3177,65058
82,1400000US17031060900,"Census Tract 609, Cook County, Illinois",4679,52654
83,1400000US17031061000,"Census Tract 610, Cook County, Illinois",907,90602
84,1400000US17031061100,"Census Tract 611, Cook County, Illinois",592,79063
85,1400000US17031061200,"Census Tract 612, Cook County, Illinois",924,96842
86,1400000US17031061500,"Census Tract 615, Cook County, Illinois",876,87679
87,1400000US17031061800,"Census Tract 618, Cook County, Illinois",683,46601
88,1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",2679,51982
89,1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",2778,53135
90,1400000US17031062000,"Census Tract 620, Cook County, Illinois",1528,74333
91,1400000US17031062100,"Census Tract 621, Cook County, Illinois",1593,69325
92,1400000US17031062200,"Census Tract 622, Cook County, Illinois",1468,106337
93,1400000US17031062300,"Census Tract 623, Cook County, Illinois",784,98750
94,1400000US17031062400,"Census Tract 624, Cook County, Illinois",747,103438
95,1400000US17031062500,"Census Tract 625, Cook County, Illinois",667,100528
96,1400000US17031062600,"Census Tract 626, Cook County, Illinois",952,88716
97,1400000US17031062700,"Census Tract 627, Cook County, Illinois",1206,96250
98,1400000US17031062800,"Census Tract 628, Cook County, Illinois",1568,106974
99,1400000US17031062900,"Census Tract 629, Cook County, Illinois",1946,105547
100,1400000US17031063000,"Census Tract 630, Cook County, Illinois",1912,66875
101,1400000US17031063100,"Census Tract 631, Cook County, Illinois",1378,50208
102,1400000US17031063200,"Census Tract 632, Cook County, Illinois",4092,60241
103,1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",1760,51719
104,1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",2767,64738
105,1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",1200,71563
106,1400000US17031063400,"Census Tract 634, Cook County, Illinois",1172,68409
107,1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",2601,56691
108,1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",1550,54190
109,1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",1219,55579
110,1400000US17031070200,"Census Tract 702, Cook County, Illinois",2050,70672
111,1400000US17031070300,"Census Tract 703, Cook County, Illinois",1555,93839
112,1400000US17031070400,"Census Tract 704, Cook County, Illinois",1618,83468
113,1400000US17031070500,"Census Tract 705, Cook County, Illinois",1226,99115
114,1400000US17031070600,"Census Tract 706, Cook County, Illinois",1219,127460
115,1400000US17031070700,"Census Tract 707, Cook County, Illinois",1262,77288
116,1400000US17031071000,"Census Tract 710, Cook County, Illinois",1135,118962
117,1400000US17031071100,"Census Tract 711, Cook County, Illinois",1131,103315
118,1400000US17031071200,"Census Tract 712, Cook County, Illinois",1077,82461
119,1400000US17031071300,"Census Tract 713, Cook County, Illinois",2108,87006
120,1400000US17031071400,"Census Tract 714, Cook County, Illinois",2794,70192
121,1400000US17031071500,"Census Tract 715, Cook County, Illinois",3629,75122
122,1400000US17031071600,"Census Tract 716, Cook County, Illinois",845,151250
123,1400000US17031071700,"Census Tract 717, Cook County, Illinois",807,131094
124,1400000US17031071800,"Census Tract 718, Cook County, Illinois",1183,120625
